sample_id,timestamp,front_shock [mm],front_shock_raw [counts],rear_shock [mm],rear_shock_raw [counts],mark
0,01:13:58.422,9.664231,3244.000000,0.280110,3560.000000,0
1,01:13:58.424,9.664231,3244.000000,0.350138,3559.000000,0
2,01:13:58.426,9.817633,3241.000000,0.350138,3559.000000,0
3,01:13:58.428,9.715365,3243.000000,0.350138,3559.000000,0
4,01:13:58.430,9.817633,3241.000000,0.630248,3555.000000,0
5,01:13:58.432,9.766499,3242.000000,0.560220,3556.000000,0
6,01:13:58.434,9.817633,3241.000000,0.630248,3555.000000,0
7,01:13:58.436,9.817633,3241.000000,0.980385,3550.000000,0
8,01:13:58.438,9.817633,3241.000000,0.910358,3551.000000,0
9,01:13:58.440,9.817633,3241.000000,1.050413,3549.000000,0
10,01:13:58.442,9.817633,3241.000000,0.910358,3551.000000,0
11,01:13:58.444,9.817633,3241.000000,0.980385,3550.000000,0
12,01:13:58.446,9.817633,3241.000000,1.050413,3549.000000,0
13,01:13:58.448,9.817633,3241.000000,1.050413,3549.000000,0
14,01:13:58.450,9.919899,3239.000000,1.190468,3547.000000,0
15,01:13:58.452,9.919899,3239.000000,1.260495,3546.000000,0
16,01:13:58.454,9.817633,3241.000000,1.260495,3546.000000,0
17,01:13:58.456,9.868766,3240.000000,1.330523,3545.000000,0
18,01:13:58.458,9.817633,3241.000000,1.400550,3544.000000,0
19,01:13:58.460,9.817633,3241.000000,1.470578,3543.000000,0
20,01:13:58.462,9.919899,3239.000000,1.680660,3540.000000,0
21,01:13:58.464,10.022166,3237.000000,1.820715,3538.000000,0
22,01:13:58.466,9.919899,3239.000000,2.100826,3534.000000,0
23,01:13:58.468,10.022166,3237.000000,2.030798,3535.000000,0
24,01:13:58.470,10.073299,3236.000000,2.170853,3533.000000,0
25,01:13:58.472,10.073299,3236.000000,2.240880,3532.000000,0
26,01:13:58.474,10.124434,3235.000000,2.310908,3531.000000,0
27,01:13:58.476,10.124434,3235.000000,2.310908,3531.000000,0
28,01:13:58.478,10.124434,3235.000000,2.450963,3529.000000,0
29,01:13:58.480,10.022166,3237.000000,2.450963,3529.000000,0
30,01:13:58.482,10.328967,3231.000000,2.591018,3527.000000,0
31,01:13:58.484,10.328967,3231.000000,2.731073,3525.000000,0
32,01:13:58.486,10.328967,3231.000000,2.661046,3526.000000,0
33,01:13:58.488,10.175567,3234.000000,3.151238,3519.000000,0
34,01:13:58.490,10.277834,3232.000000,3.221266,3518.000000,0
35,01:13:58.492,10.328967,3231.000000,3.221266,3518.000000,0
36,01:13:58.494,10.431234,3229.000000,3.431348,3515.000000,0
37,01:13:58.496,10.328967,3231.000000,3.431348,3515.000000,0
38,01:13:58.498,10.277834,3232.000000,3.291293,3517.000000,0
39,01:13:58.500,10.328967,3231.000000,3.431348,3515.000000,0
40,01:13:58.502,10.328967,3231.000000,3.431348,3515.000000,0
41,01:13:58.504,10.328967,3231.000000,3.501376,3514.000000,0
42,01:13:58.506,10.124434,3235.000000,3.501376,3514.000000,0
43,01:13:58.508,10.328967,3231.000000,3.641431,3512.000000,0
44,01:13:58.510,10.328967,3231.000000,3.641431,3512.000000,0
45,01:13:58.512,10.175567,3234.000000,3.571403,3513.000000,0
46,01:13:58.514,10.124434,3235.000000,3.641431,3512.000000,0
47,01:13:58.516,10.380101,3230.000000,3.711458,3511.000000,0
48,01:13:58.518,10.175567,3234.000000,3.711458,3511.000000,0
49,01:13:58.520,10.328967,3231.000000,3.851513,3509.000000,0
50,01:13:58.522,10.431234,3229.000000,3.921540,3508.000000,0
51,01:13:58.524,10.328967,3231.000000,3.851513,3509.000000,0
52,01:13:58.526,10.277834,3232.000000,3.991568,3507.000000,0
53,01:13:58.528,10.328967,3231.000000,3.991568,3507.000000,0
54,01:13:58.530,10.328967,3231.000000,3.851513,3509.000000,0
55,01:13:58.532,10.328967,3231.000000,3.991568,3507.000000,0
56,01:13:58.534,10.328967,3231.000000,4.201651,3504.000000,0
57,01:13:58.536,10.328967,3231.000000,4.201651,3504.000000,0
58,01:13:58.538,10.431234,3229.000000,4.411733,3501.000000,0
59,01:13:58.540,10.328967,3231.000000,4.271678,3503.000000,0
60,01:13:58.542,10.380101,3230.000000,4.411733,3501.000000,0
61,01:13:58.544,10.124434,3235.000000,4.481761,3500.000000,0
62,01:13:58.546,10.328967,3231.000000,4.551788,3499.000000,0
63,01:13:58.548,10.277834,3232.000000,4.551788,3499.000000,0
64,01:13:58.550,10.431234,3229.000000,4.691844,3497.000000,0
65,01:13:58.552,10.431234,3229.000000,4.691844,3497.000000,0
66,01:13:58.554,10.328967,3231.000000,4.691844,3497.000000,0
67,01:13:58.556,10.431234,3229.000000,4.831898,3495.000000,0
68,01:13:58.558,10.328967,3231.000000,4.831898,3495.000000,0
69,01:13:58.560,10.328967,3231.000000,4.831898,3495.000000,0
70,01:13:58.562,10.328967,3231.000000,4.831898,3495.000000,0
71,01:13:58.564,10.124434,3235.000000,4.901926,3494.000000,0
72,01:13:58.566,10.277834,3232.000000,4.831898,3495.000000,0
73,01:13:58.568,10.175567,3234.000000,4.831898,3495.000000,0
74,01:13:58.570,10.328967,3231.000000,5.041981,3492.000000,0
75,01:13:58.572,10.431234,3229.000000,4.971953,3493.000000,0
76,01:13:58.574,10.328967,3231.000000,5.112009,3491.000000,0
77,01:13:58.576,10.431234,3229.000000,5.112009,3491.000000,0
78,01:13:58.578,10.380101,3230.000000,5.392118,3487.000000,0
79,01:13:58.580,10.328967,3231.000000,5.112009,3491.000000,0
80,01:13:58.582,10.431234,3229.000000,5.112009,3491.000000,0
