Reference,Qty,,Item type,Value,Approx cost (total),Australian supplier links,Digikey link,Amazon link,AliExpress link
,,,,,,,,,
"C1,C4,C7,C10",4,,220nF Y5V 50V monolithic capacitor,220nF,1.6,https://www.altronics.com.au/p/r2935a-0.22uf-50v-y5v-5mm-monolithic-capacitor/,-,-,-
"C2,C3,C5,C6,C8,C9,C11,C12,C13,C15,C21",11,,100nF X7R 50V monolithic capacitor,100nF,4.4,https://www.altronics.com.au/p/r2931-0.1uf-50v-x7r-5mm-monolithic-capacitor/,-,-,-
C17,1,,10uF 25V tantalum capacitor,10uF,1.3,https://www.altronics.com.au/p/r2638b-10uf-25v-5mm-tantalum-capacitor/,-,-,-
"J4, J9",2,,Header strip pin for nav pad and UART,,0.9,https://www.altronics.com.au/p/p5430-oupiin-40-way-header-pin/,-,-,-
"R1,R2,R6,R7,R11,R12,R16,R17",8,,"Resistor, 0.25W metal film",220R,1.3,https://www.altronics.com.au/p/r7542-220r-0.25w-metal-film-resistor-pk-10/,-,-,-
"R3,R4,R8,R9,R13,R14,R18,R19",8,,"Resistor, 0.25W metal film",2K,1.3,https://www.altronics.com.au/p/r7565-2k-0.25w-metal-film-resistor-pk-10/,-,-,-
"R5,R10,R15,R20",4,,"Resistor, 0.25W metal film",68R,1.3,https://www.altronics.com.au/p/r7530-68r-0.25w-metal-film-resistor-pk-10/,-,-,-
U1,1,,Sparkfun ESP32-S3 Thing Plus,,45,https://core-electronics.com.au/sparkfun-thing-plus-esp32-s3.html,https://www.digikey.com.au/en/products/detail/sparkfun-electronics/24408/22606864,-,-
"U2,U3",2,,MCP6002-I/P DIP-8 opamp,,1.3,,https://www.digikey.com.au/en/products/detail/microchip-technology/MCP6002-I-P/500875,-,-
U4,1,,LD1117V33 low dropout voltage regulator,,5.5,https://www.altronics.com.au/p/z2695-ld1117v33-3.3v-800ma-to-220-low-dropout-voltage-regulator/,https://www.digikey.com.au/en/products/detail/stmicroelectronics/LD1117V33/586012,-,-
,1,,"0.96"" OLED display",,7,"https://www.altronics.com.au/p/z6525-0.96-inch-monochrome-128x64-oled-display-module/
https://core-electronics.com.au/white-i2c-oled-display-ssd1306.html",,https://www.amazon.com.au/DIGISHUO-0-96-Inch-Self-Luminous-Compatible-Raspberry/dp/B0F8TDW975/?th=1,https://www.aliexpress.com/item/1005008738379315.html
,1,,5 key membrane keypad,,,,,https://www.amazon.com.au/Be-Your-Mind-Membrane-Keyboard/dp/B0FQ8G6HVN/,https://www.aliexpress.com/item/1005006245093356.html
,1,,QWIIC cable,,2.32,https://core-electronics.com.au/qwiic-cable-50mm-41903.html,https://www.digikey.com.au/en/products/detail/sparkfun-electronics/14427/7652740,-,https://www.aliexpress.com/item/1005009291263030.html
,1,,LiPo battery with 2-pin JST-PH connector,1000mah or more,20,https://www.altronics.com.au/p/s4725a-3.7v-2000mah-polymer-lithium-ion-battery-lipo/,-,-,-
,,,,,,,,,
,5,OPTIONAL,M8 back panel mount connector 3 pin male,,,-,,,https://www.aliexpress.com/item/32840940523.html
,5,OPTIONAL,M8 plug and cable tail 3 pin female,,,-,,,https://www.aliexpress.com/item/1005005615414536.html
"J1,J3,J6,J7,J8",5,OPTIONAL,JST-PH 2.0 3 pin plug and cable set,,,-,,,https://www.aliexpress.com/item/1005009087160808.html
,1,OPTIONAL,M8 back panel mount connector 4 pin male,,,-,,,https://www.aliexpress.com/item/32840940523.html
,1,OPTIONAL,M8 plug and cable tail 4 pin female,,,-,,,https://www.aliexpress.com/item/1005005615414536.html
J5,1,OPTIONAL,JST-PH 2.0 4 pin plug and cable set,,,-,,,https://www.aliexpress.com/item/1005009087160808.html
,,,,,,,,,
,1,OPTIONAL,Bar switch - SPST momentary with LED,,,https://www.altronics.com.au/p/s0966-spst-ip67-rated-dome-mom.-black-led-pushbutton-switch/,https://www.digikey.com.au/en/products/detail/e-switch/RP8100B2M1CEBLKBLKRED/1785733,,
,1,OPTIONAL,3 core cable,,,,,,
,,,,,,,,,
,2,,"Linear potentiometers, 75mm and 200mm",,,,,,https://www.aliexpress.com/item/1005008810289538.html
