front_shock [mm],front_shock [mm]_vel,front_shock [mm]_acc,front_shock [mm]_norm,rear_shock [mm],rear_shock [mm]_vel,rear_shock [mm]_acc,rear_shock [mm]_norm,t
22.875336,83.79870555555658,1101.147132867196,0.1345608,26.795858,118.28988504273599,697.5363170164001,0.16239913939393938,149.048
23.272305,8.169883877234497,11141.040559440602,0.1368959117647059,27.372812,10.736757536908613,12960.366620046694,0.1658958303030303,149.05
23.917379,102.58108737373811,14513.891748251806,0.14069046470588237,28.077978,129.35529005439116,18349.32820512829,0.17016956363636365,149.052
24.264727,255.147771406372,12880.672167832254,0.14273368823529411,28.52672,321.4663172494179,16346.531561771653,0.17288921212121214,149.054
24.661695,391.5499921911429,7657.152913753011,0.14506879411764706,29.295994,497.6680864801878,9999.532494172594,0.1775514787878788,149.056
25.505255,462.4306786324796,726.3873193474064,0.15003091176470587,30.063978,588.3152587024099,1554.1232634033731,0.18220592727272727,149.058
33.097286,438.90783986014105,-6426.454545454475,0.1946899176470588,39.678616,565.8257734265742,-7543.796363636262,0.2404764606060606,149.06
33.246151,334.44707987568125,-12431.881771561686,0.19556559411764704,40.177261,431.5209276612288,-14796.939114219003,0.2434985515151515,149.062
33.444633,166.06109055944165,-15957.410722610635,0.19673313529411768,40.361542,230.70025135975249,-19533.380699300596,0.24461540606060606,149.064
33.444633,4.678718376069185,-15735.33128205119,0.19673313529411768,40.422966,36.38351010101121,-19581.275804195677,0.24498767272727273,149.066
33.444633,-72.46341037295923,-10349.874965034891,0.19673313529411768,40.668674,-66.98816550116408,-13655.94918414907,0.24647681212121214,149.068
33.593498,18.184795765346223,175.8188344989103,0.19760881176470585,40.791527,38.67101779331881,-170.49184149174107,0.24722137575757577,149.07
33.593498,22.242867210567795,314.6164102564835,0.19760881176470585,41.282936,44.80959553224625,62.998694638808956,0.2501996121212121,149.072
33.891224,28.43102004662086,115.66209790219,0.1993601411764706,41.405788,41.456703574204425,97.36634032644724,0.2509441696969697,149.074
33.940845,25.386984071485074,-180.44456876446566,0.19965202941176471,41.467213,39.89595912976,-200.45603729593495,0.25131644242424245,149.076
34.08971,19.139031351982396,-203.57995337986722,0.2005277058823529,41.651493,37.555006759907485,45.82620046631928,0.25243329090909095,149.078
34.139332,15.811628205128898,55.518694638769375,0.20081960000000001,42.02005,38.039480264180725,234.8343123544073,0.25466696969696967,149.08
34.288193,15.456875369076101,143.42825174833706,0.20169525294117646,42.081478,45.537643667444456,704.4795337996838,0.2550392606060606,149.082
34.238571,21.693279254080494,476.5470396271303,0.20140335882352942,42.450035,47.46596480186645,612.8347785548794,0.2572729393939394,149.084
34.387436,21.336657575758522,934.5897435898405,0.20227903529411764,42.511463,37.598142307693536,1781.218648018792,0.25764523030303027,149.086
34.585918,-48.15789304584246,10493.306573426646,0.20344657647058823,42.88002,-126.6030693084681,23778.89650349659,0.2598789090909091,149.088
34.784405,37.91759724164842,13972.56792540802,0.20461414705882353,43.125729,75.32348690753781,32168.99487179497,0.26136805454545453,149.09
34.883648,182.16189560994655,13130.512634032722,0.2051979294117647,43.432861,411.7630660062167,29618.144242424336,0.2632294606060606,149.092
35.032509,315.74563671328826,8605.623403263511,0.20607358235294115,43.73999,723.2851834110346,19808.97706293719,0.2650908484848485,149.094
35.528721,390.39331278166395,2688.10116550127,0.20899247647058822,44.968517,888.7376969696985,5639.886340326499,0.27253646666666664,149.096
42.376434,386.42591958042055,-3854.0234965033924,0.24927314117647062,60.598576,870.6262126262643,-9435.102097901916,0.367264096969697,149.098
42.475677,302.0604385780897,-9753.034965034858,0.24985692352941175,60.775459,663.8064284382305,-22427.331375291193,0.36833611515151515,149.1
42.723785,160.04840761460918,-13630.189743589635,0.2513163823529412,60.893387,341.3932570318592,-30657.106480186318,0.36905083030303026,149.102
42.674164,14.62610011655147,-14074.353659673554,0.25102449411764705,60.952351,18.64981262626486,-31453.916736596584,0.3694081878787879,149.104
42.872646,-61.13186216006153,-9753.039533799409,0.25219203529411766,61.188194,-141.86665656565435,-21359.946293706125,0.37083753939393943,149.106
42.922268,12.303082400933647,41.63776223788227,0.25248392941176473,61.306114,40.12765625485804,263.88839160851785,0.37155220606060607,149.108
42.971889,-5.476802797201856,2600.1893706294613,0.2527758176470588,61.718849,11.650205866357396,3710.879533799718,0.3740536303030303,149.11
43.071133,17.947681118881633,3932.6769230770224,0.25335960588235296,61.895733,36.76519378399564,5167.75421911442,0.37512565454545455,149.112
43.120754,57.654189743590564,3539.4089510490558,0.25365149411764704,61.895733,90.32802420357609,4524.52885780904,0.37512565454545455,149.114
43.219994,97.19872587412692,2544.672167832312,0.25423525882352943,62.13158,137.9714641414165,3276.56913752931,0.3765550303030303,149.116
43.517723,116.68864572649693,980.8555710956898,0.25598660588235295,62.367432,167.12704708624926,1214.9587878789825,0.3779844363636364,149.118
45.254459,115.18112567987669,-721.7593473191955,0.26620269999999996,65.079666,171.4082707070728,-753.1824708623099,0.3944222181818182,149.12
45.502567,93.93705411810572,-2202.2971561770064,0.2676621588235294,65.433441,145.36775590520824,-3183.113752913596,0.3965663090909091,149.122
45.502567,59.655299145301,-3340.463216783108,0.2676621588235294,65.374474,91.5851801864817,-4810.397948717764,0.39620893333333335,149.124
45.60181,24.92429242424373,-3594.9324009322736,0.2682459411764706,65.728249,41.7289009712523,-5233.707878787689,0.39835302424242425,149.126
45.800293,7.344820590521863,-2544.6731002329834,0.26941348823529415,65.905128,13.90663605283737,-4156.173240093041,0.3994250181818182,149.128
45.949158,24.214770707072148,-300.7347319346045,0.2702891647058823,66.199936,38.125914763016794,-747.676083915896,0.4012117333333333,149.13
46.098019,17.82811705516849,402.5219580420562,0.27116481764705885,66.258904,23.17936406371632,450.80307692325005,0.40156911515151517,149.132
46.14764,15.296943317794558,800.4186480187673,0.27145670588235293,66.553711,15.228384654236379,1478.8423310024955,0.4033558242424243,149.134
46.197262,19.609459324011254,1536.0584615385778,0.2717486,66.553711,26.063152020203916,3260.0670396272035,0.4033558242424243,149.136
46.296505,32.29424001554128,2415.126340326482,0.2723323823529412,66.553711,52.151010101011934,4526.193566433743,0.4033558242424243,149.138
46.395748,51.98268698523805,2924.062750582856,0.2729161647058823,66.730591,95.16494961150124,4839.536783216921,0.4044278242424243,149.14
46.941578,76.0799223387736,2785.259673659795,0.2761269294117647,67.673981,130.38458912199042,4523.935384615535,0.4101453393939394,149.142
47.239307,93.19867206682363,2197.6676923078594,0.2778782764705882,68.322556,164.06559716394815,3348.8696503497995,0.414076096969697,149.144
47.735516,104.41832812742962,1147.4159440560652,0.28079715294117646,69.265945,172.29113057498114,1574.6305827508259,0.41979360606060606,149.146
48.330971,109.32647101787256,-407.14545454531617,0.2842998294117647,70.147644,159.22607968143132,434.8840093241888,0.4251372363636364,149.148
