sample_id,timestamp,front_shock [mm],front_shock_raw [counts],String pot [mm],String pot_raw [counts],mark
0,07:14:17.257,104.829628,1846.000000,25.435537,3663.000000,0
1,07:14:17.259,104.758026,1847.000000,-20.495659,3546.000000,0
2,07:14:17.261,104.758026,1847.000000,-16.969940,3364.000000,0
3,07:14:17.263,104.758026,1847.000000,-14.315966,3227.000000,0
4,07:14:17.265,104.758026,1847.000000,-11.545758,3084.000000,0
5,07:14:17.267,104.758026,1847.000000,-8.775551,2941.000000,0
6,07:14:17.269,104.829628,1846.000000,-6.586506,2828.000000,0
7,07:14:17.271,104.758026,1847.000000,-4.010020,2695.000000,0
8,07:14:17.273,104.901237,1845.000000,-1.181697,2549.000000,0
9,07:14:17.275,104.829628,1846.000000,1.220441,2425.000000,0
10,07:14:17.277,104.829628,1846.000000,3.118905,2327.000000,0
11,07:14:17.279,104.901237,1845.000000,5.230461,2218.000000,0
12,07:14:17.281,104.758026,1847.000000,7.206413,2116.000000,0
13,07:14:17.283,104.758026,1847.000000,9.356713,2005.000000,0
14,07:14:17.285,104.758026,1847.000000,11.642618,1887.000000,0
15,07:14:17.287,104.758026,1847.000000,13.734803,1779.000000,0
16,07:14:17.289,104.829628,1846.000000,15.826987,1671.000000,0
17,07:14:17.291,104.901237,1845.000000,17.996660,1559.000000,0
18,07:14:17.293,104.901237,1845.000000,20.030727,1454.000000,0
19,07:14:17.295,104.829628,1846.000000,22.006680,1352.000000,0
20,07:14:17.297,104.758026,1847.000000,23.885771,1255.000000,0
21,07:14:17.299,104.758026,1847.000000,25.900467,1151.000000,0
22,07:14:17.301,104.758026,1847.000000,27.605211,1063.000000,0
23,07:14:17.303,104.829628,1846.000000,29.503674,965.000000,0
24,07:14:17.305,104.758026,1847.000000,31.305277,872.000000,0
25,07:14:17.307,104.758026,1847.000000,33.106880,779.000000,0
26,07:14:17.309,104.901237,1845.000000,34.966599,683.000000,0
27,07:14:17.311,104.901237,1845.000000,36.671341,595.000000,0
28,07:14:17.313,104.901237,1845.000000,38.414829,505.000000,0
29,07:14:17.315,104.758026,1847.000000,40.003342,423.000000,0
30,07:14:17.317,104.758026,1847.000000,41.514362,345.000000,0
31,07:14:17.319,104.901237,1845.000000,43.044758,266.000000,0
32,07:14:17.321,104.758026,1847.000000,44.497662,191.000000,0
33,07:14:17.323,104.901237,1845.000000,45.853706,121.000000,0
34,07:14:17.325,104.901237,1845.000000,47.112892,56.000000,0
35,07:14:17.327,104.758026,1847.000000,48.197727,0.000000,0
36,07:14:17.329,104.758026,1847.000000,48.217102,4095.000000,0
37,07:14:17.331,104.758026,1847.000000,48.217102,4095.000000,0
38,07:14:17.333,104.758026,1847.000000,49.069473,4051.000000,0
39,07:14:17.335,104.758026,1847.000000,51.084167,3947.000000,0
40,07:14:17.337,104.758026,1847.000000,52.808285,3858.000000,0
41,07:14:17.339,104.758026,1847.000000,54.416164,3775.000000,0
42,07:14:17.341,104.686417,1848.000000,55.675350,3710.000000,0
43,07:14:17.343,104.758026,1847.000000,56.895790,3647.000000,0
44,07:14:17.345,104.829628,1846.000000,57.845024,3598.000000,0
45,07:14:17.347,104.758026,1847.000000,58.871742,3545.000000,0
46,07:14:17.349,104.758026,1847.000000,59.607883,3507.000000,0
47,07:14:17.351,104.758026,1847.000000,60.305279,3471.000000,0
48,07:14:17.353,104.901237,1845.000000,60.867069,3442.000000,0
49,07:14:17.355,104.829628,1846.000000,61.312626,3419.000000,0
50,07:14:17.357,104.758026,1847.000000,61.758183,3396.000000,0
51,07:14:17.359,104.901237,1845.000000,62.048763,3381.000000,0
52,07:14:17.361,104.758026,1847.000000,62.319973,3367.000000,0
53,07:14:17.363,104.758026,1847.000000,62.397461,3363.000000,0
54,07:14:17.365,104.758026,1847.000000,62.474949,3359.000000,0
55,07:14:17.367,104.758026,1847.000000,62.513695,3357.000000,0
56,07:14:17.369,104.758026,1847.000000,62.474949,3359.000000,0
57,07:14:17.371,104.758026,1847.000000,62.319973,3367.000000,0
58,07:14:17.373,104.758026,1847.000000,62.087509,3379.000000,0
59,07:14:17.375,104.758026,1847.000000,61.700066,3399.000000,0
60,07:14:17.377,104.758026,1847.000000,61.196392,3425.000000,0
61,07:14:17.379,104.758026,1847.000000,60.770206,3447.000000,0
62,07:14:17.381,104.758026,1847.000000,60.092186,3482.000000,0
63,07:14:17.383,104.614815,1849.000000,59.433533,3516.000000,0
64,07:14:17.385,104.758026,1847.000000,58.678024,3555.000000,0
65,07:14:17.387,104.686417,1848.000000,57.554443,3613.000000,0
66,07:14:17.389,104.758026,1847.000000,56.508350,3667.000000,0
67,07:14:17.391,104.758026,1847.000000,55.191048,3735.000000,0
68,07:14:17.393,104.758026,1847.000000,53.835003,3805.000000,0
69,07:14:17.395,104.758026,1847.000000,52.323982,3883.000000,0
70,07:14:17.397,104.758026,1847.000000,50.425518,3981.000000,0
71,07:14:17.399,104.758026,1847.000000,48.507683,4080.000000,0
72,07:14:17.401,104.758026,1847.000000,48.217102,4095.000000,0
73,07:14:17.403,104.758026,1847.000000,48.217102,4095.000000,0
74,07:14:17.405,104.758026,1847.000000,47.868404,17.000000,0
75,07:14:17.407,104.829628,1846.000000,46.706078,77.000000,0
76,07:14:17.409,104.758026,1847.000000,45.388779,145.000000,0
77,07:14:17.411,104.758026,1847.000000,44.032734,215.000000,0
78,07:14:17.413,104.829628,1846.000000,42.696060,284.000000,0
79,07:14:17.415,104.758026,1847.000000,41.204411,361.000000,0
80,07:14:17.417,104.758026,1847.000000,39.654644,441.000000,0
81,07:14:17.419,104.758026,1847.000000,37.911156,531.000000,0
82,07:14:17.421,104.758026,1847.000000,36.283901,615.000000,0
83,07:14:17.423,104.829628,1846.000000,34.443554,710.000000,0
84,07:14:17.425,104.758026,1847.000000,32.641949,803.000000,0
85,07:14:17.427,104.901237,1845.000000,30.898464,893.000000,0
86,07:14:17.429,104.758026,1847.000000,28.961256,993.000000,0
87,07:14:17.431,104.758026,1847.000000,27.159653,1086.000000,0
88,07:14:17.433,104.758026,1847.000000,25.280561,1183.000000,0
89,07:14:17.435,104.758026,1847.000000,23.285236,1286.000000,0
90,07:14:17.437,104.758026,1847.000000,21.406145,1383.000000,0
91,07:14:17.439,104.758026,1847.000000,19.275217,1493.000000,0
92,07:14:17.441,104.758026,1847.000000,17.241150,1598.000000,0
93,07:14:17.443,104.758026,1847.000000,14.974616,1715.000000,0
94,07:14:17.445,104.758026,1847.000000,12.785571,1828.000000,0
95,07:14:17.447,104.758026,1847.000000,10.615898,1940.000000,0
96,07:14:17.449,104.758026,1847.000000,8.310621,2059.000000,0
97,07:14:17.451,104.758026,1847.000000,6.179693,2169.000000,0
98,07:14:17.453,104.758026,1847.000000,4.106881,2276.000000,0
99,07:14:17.455,104.758026,1847.000000,2.034068,2383.000000,0
100,07:14:17.457,104.758026,1847.000000,-0.058116,2491.000000,0
101,07:14:17.459,104.901237,1845.000000,-2.460254,2615.000000,0
102,07:14:17.461,104.758026,1847.000000,-4.765531,2734.000000,0
103,07:14:17.463,104.758026,1847.000000,-7.342017,2867.000000,0
104,07:14:17.465,104.758026,1847.000000,-9.860388,2997.000000,0
105,07:14:17.467,104.758026,1847.000000,-12.649966,3141.000000,0
106,07:14:17.469,104.758026,1847.000000,-15.400802,3283.000000,0
107,07:14:17.471,104.758026,1847.000000,-18.500334,3443.000000,0
108,07:14:17.473,104.758026,1847.000000,-21.754843,3611.000000,0
109,07:14:17.475,104.758026,1847.000000,-25.416166,3800.000000,0
110,07:14:17.477,104.758026,1847.000000,-29.891115,4031.000000,0
111,07:14:17.479,104.758026,1847.000000,-31.130928,4095.000000,0
112,07:14:17.481,104.758026,1847.000000,-31.983299,43.000000,0
113,07:14:17.483,104.758026,1847.000000,-34.249832,160.000000,0
114,07:14:17.485,104.829628,1846.000000,-36.477623,275.000000,0
115,07:14:17.487,104.758026,1847.000000,-38.763527,393.000000,0
116,07:14:17.489,104.758026,1847.000000,-40.913826,504.000000,0
117,07:14:17.491,104.758026,1847.000000,-43.335339,629.000000,0
118,07:14:17.493,104.829628,1846.000000,-45.621243,747.000000,0
119,07:14:17.495,104.758026,1847.000000,-47.829659,861.000000,0
120,07:14:17.497,104.758026,1847.000000,-50.115566,979.000000,0
121,07:14:17.499,104.829628,1846.000000,-52.110889,1082.000000,0
122,07:14:17.501,104.829628,1846.000000,-54.241817,1192.000000,0
123,07:14:17.503,104.829628,1846.000000,-56.198399,1293.000000,0
124,07:14:17.505,104.758026,1847.000000,-58.058117,1389.000000,0
125,07:14:17.507,104.758026,1847.000000,-60.072811,1493.000000,0
126,07:14:17.509,104.901237,1845.000000,-61.951904,1590.000000,0
127,07:14:17.511,104.829628,1846.000000,-63.947227,1693.000000,0
128,07:14:17.513,104.829628,1846.000000,-65.787575,1788.000000,0
129,07:14:17.515,104.758026,1847.000000,-67.782898,1891.000000,0
130,07:14:17.517,104.758026,1847.000000,-69.448898,1977.000000,0
131,07:14:17.519,104.758026,1847.000000,-71.289246,2072.000000,0
132,07:14:17.521,104.758026,1847.000000,-72.858383,2153.000000,0
133,07:14:17.523,104.758026,1847.000000,-74.291916,2227.000000,0
134,07:14:17.525,104.901237,1845.000000,-75.764198,2303.000000,0
135,07:14:17.527,104.829628,1846.000000,-77.197731,2377.000000,0
136,07:14:17.529,104.829628,1846.000000,-78.476288,2443.000000,0
137,07:14:17.531,104.758026,1847.000000,-79.774216,2510.000000,0
138,07:14:17.533,104.758026,1847.000000,-81.072144,2577.000000,0
139,07:14:17.535,104.829628,1846.000000,-82.234467,2637.000000,0
140,07:14:17.537,104.901237,1845.000000,-83.358047,2695.000000,0
141,07:14:17.539,104.758026,1847.000000,-84.442886,2751.000000,0
142,07:14:17.541,104.758026,1847.000000,-85.353371,2798.000000,0
143,07:14:17.543,104.758026,1847.000000,-86.283234,2846.000000,0
144,07:14:17.545,104.758026,1847.000000,-87.193718,2893.000000,0
145,07:14:17.547,104.758026,1847.000000,-87.813629,2925.000000,0
146,07:14:17.549,104.758026,1847.000000,-88.569138,2964.000000,0
