sample_id,timestamp,front_shock [mm],front_shock_raw [counts],String pot [mm],String pot_raw [counts],mark
0,15:12.6,104.972839,1844,30.879091,3382,0
1,15:12.6,105.044441,1843,-17.647963,3399,0
2,15:12.6,104.972839,1844,-18.26787,3431,0
3,15:12.6,104.972839,1844,-19.004007,3469,0
4,15:12.6,104.901237,1845,-20.166332,3529,0
5,15:12.6,105.116051,1842,-21.619238,3604,0
6,15:12.6,104.972839,1844,-23.459585,3699,0
7,15:12.6,104.901237,1845,-25.532398,3806,0
8,15:12.6,105.044441,1843,-28.205746,3944,0
9,15:12.7,105.044441,1843,-31.130928,4095,0
10,15:12.7,104.901237,1845,-31.130928,4095,0
11,15:12.7,105.044441,1843,-32.196392,54,0
12,15:12.7,104.972839,1844,-34.32732,164,0
13,15:12.7,104.901237,1845,-36.729458,288,0
14,15:12.7,104.972839,1844,-38.744156,392,0
15,15:12.7,104.972839,1844,-41.281898,523,0
16,15:12.7,104.901237,1845,-43.9165,659,0
17,15:12.7,104.901237,1845,-46.899799,813,0
18,15:12.7,104.901237,1845,-49.883099,967,0
19,15:12.7,104.901237,1845,-52.769539,1116,0
20,15:12.7,104.901237,1845,-55.927189,1279,0
21,15:12.7,104.901237,1845,-59.026722,1439,0
22,15:12.7,104.972839,1844,-62.571812,1622,0
23,15:12.7,104.972839,1844,-66.039413,1801,0
24,15:12.7,104.901237,1845,-69.700737,1990,0
25,15:12.7,104.901237,1845,-73.110222,2166,0
26,15:12.7,104.901237,1845,-76.61657,2347,0
27,15:12.7,104.901237,1845,-80.103539,2527,0
28,15:12.7,104.901237,1845,-83.900467,2723,0
29,15:12.7,104.901237,1845,-88.10421,2940,0
30,15:12.7,104.901237,1845,-92.385437,3161,0
31,15:12.7,104.972839,1844,-97.112221,3405,0
32,15:12.7,104.972839,1844,-102.923851,3705,0
33,15:12.7,104.901237,1845,-109.626587,4051,0
34,15:12.7,104.901237,1845,-111.002007,26,0
35,15:12.7,104.972839,1844,-114.508347,207,0
36,15:12.7,104.901237,1845,-118.305275,403,0
37,15:12.7,104.972839,1844,-121.869736,587,0
38,15:12.7,104.901237,1845,-125.58918,779,0
39,15:12.7,104.972839,1844,-129.308624,971,0
40,15:12.7,104.901237,1845,-132.601868,1141,0
41,15:12.7,105.044441,1843,-135.97261,1315,0
42,15:12.7,105.044441,1843,-138.955917,1469,0
43,15:12.7,104.972839,1844,-142.094193,1631,0
44,15:12.7,104.901237,1845,-145.135605,1788,0
45,15:12.7,104.901237,1845,-148.022049,1937,0
46,15:12.7,105.044441,1843,-150.850372,2083,0
47,15:12.7,104.901237,1845,-153.15564,2202,0
48,15:12.7,104.901237,1845,-155.480301,2322,0
49,15:12.7,104.972839,1844,-157.533737,2428,0
50,15:12.7,104.901237,1845,-159.529053,2531,0
51,15:12.7,104.901237,1845,-161.505005,2633,0
52,15:12.7,104.901237,1845,-163.132263,2717,0
53,15:12.7,104.901237,1845,-164.837006,2805,0
54,15:12.7,105.044441,1843,-166.154312,2873,0
55,15:12.7,104.972839,1844,-167.277893,2931,0
56,15:12.7,104.901237,1845,-168.24649,2981,0
57,15:12.7,104.901237,1845,-168.943893,3017,0
58,15:12.7,104.901237,1845,-169.311951,3036,0
59,15:12.8,104.901237,1845,-169.466934,3044,0
60,15:12.8,104.901237,1845,-169.331329,3037,0
61,15:12.8,104.901237,1845,-168.982635,3019,0
62,15:12.8,105.044441,1843,-168.362732,2987,0
63,15:12.8,104.901237,1845,-167.45224,2940,0
64,15:12.8,104.901237,1845,-166.425522,2887,0
65,15:12.8,104.901237,1845,-164.991989,2813,0
66,15:12.8,105.044441,1843,-163.480957,2735,0
67,15:12.8,104.901237,1845,-161.814957,2649,0
68,15:12.8,104.972839,1844,-159.877762,2549,0
69,15:12.8,104.901237,1845,-157.959915,2450,0
70,15:12.8,104.901237,1845,-155.69339,2333,0
71,15:12.8,104.901237,1845,-153.446228,2217,0
72,15:12.8,104.901237,1845,-150.927856,2087,0
73,15:12.8,105.044441,1843,-148.138275,1943,0
74,15:12.8,105.044441,1843,-145.154984,1789,0
75,15:12.8,105.044441,1843,-141.861725,1619,0
76,15:12.8,104.972839,1844,-138.665329,1454,0
77,15:12.8,104.901237,1845,-135.391449,1285,0
78,15:12.8,105.044441,1843,-132.09819,1115,0
79,15:12.8,104.901237,1845,-128.688705,939,0
80,15:12.8,104.901237,1845,-124.911156,744,0
81,15:12.8,104.972839,1844,-121.21109,553,0
82,15:12.8,104.901237,1845,-117.278557,350,0
83,15:12.8,104.901237,1845,-113.675354,164,0
84,15:12.8,105.044441,1843,-110.478958,4095,0
85,15:12.8,105.044441,1843,-107.301941,3931,0
86,15:12.8,105.044441,1843,-101.044754,3608,0
87,15:12.8,104.901237,1845,-95.48497,3321,0
88,15:12.8,104.972839,1844,-91.10688,3095,0
89,15:12.8,104.972839,1844,-86.806282,2873,0
90,15:12.8,104.972839,1844,-83.009354,2677,0
91,15:12.8,104.901237,1845,-79.34803,2488,0
92,15:12.8,105.044441,1843,-75.880424,2309,0
93,15:12.8,104.901237,1845,-72.509689,2135,0
