sample_id,timestamp,i2c_stringpot_raw [counts],i2c_stringpot [mm],mark
0,00:51:23.098,857.000000,-29.314476,0
1,00:51:23.100,438.000000,10.272908,0
2,00:51:23.102,4023.000000,16.522261,0
3,00:51:23.104,3465.000000,23.346407,0
4,00:51:23.106,2913.000000,30.097174,0
5,00:51:23.108,2398.000000,36.395447,0
6,00:51:23.110,1858.000000,42.999458,0
7,00:51:23.112,1385.000000,48.784084,0
8,00:51:23.114,883.000000,54.923370,0
9,00:51:23.116,417.000000,60.622387,0
10,00:51:23.118,210.000000,63.153923,0
11,00:51:23.120,4057.000000,66.199112,0
12,00:51:23.122,3930.000000,67.752274,0
13,00:51:23.124,3899.000000,68.131393,0
14,00:51:23.126,3963.000000,67.348694,0
15,00:51:23.128,32.000000,65.330803,0
16,00:51:23.130,305.000000,61.992107,0
17,00:51:23.132,671.000000,57.516056,0
18,00:51:23.134,1063.000000,52.722031,0
19,00:51:23.136,1545.000000,46.827339,0
20,00:51:23.138,2081.000000,40.272243,0
21,00:51:23.140,2633.000000,33.521477,0
22,00:51:23.142,3142.000000,27.296585,0
23,00:51:23.144,3719.000000,20.240074,0
24,00:51:23.146,158.000000,13.697210,0
25,00:51:23.148,671.000000,7.423399,0
26,00:51:23.150,1150.000000,1.565395,0
27,00:51:23.152,1557.000000,-3.412073,0
28,00:51:23.154,1897.000000,-7.570155,0
29,00:51:23.156,2213.000000,-11.434725,0
30,00:51:23.158,2433.000000,-14.125249,0
31,00:51:23.160,2582.000000,-15.947467,0
32,00:51:23.162,2660.000000,-16.901381,0
33,00:51:23.164,2663.000000,-16.938068,0
34,00:51:23.166,2594.000000,-16.094223,0
35,00:51:23.168,2458.000000,-14.430990,0
36,00:51:23.170,2247.000000,-11.850533,0
37,00:51:23.172,1946.000000,-8.169408,0
38,00:51:23.174,1614.000000,-4.109163,0
39,00:51:23.176,1211.000000,0.819387,0
40,00:51:23.178,720.000000,6.824146,0
41,00:51:23.180,222.000000,12.914513,0
42,00:51:23.182,3768.000000,19.640821,0
43,00:51:23.184,3225.000000,26.281523,0
44,00:51:23.186,2686.000000,32.873306,0
45,00:51:23.188,2139.000000,39.562927,0
46,00:51:23.190,1648.000000,45.567684,0
47,00:51:23.192,1182.000000,51.266705,0
48,00:51:23.194,734.000000,56.745586,0
49,00:51:23.196,380.000000,61.074883,0
50,00:51:23.198,74.000000,64.817154,0
51,00:51:23.200,3987.000000,67.055183,0
52,00:51:23.202,3903.000000,68.082474,0
53,00:51:23.204,3915.000000,67.935722,0
54,00:51:23.206,4024.000000,66.602684,0
55,00:51:23.208,142.000000,63.985542,0
56,00:51:23.210,478.000000,59.876377,0
57,00:51:23.212,844.000000,55.400326,0
58,00:51:23.214,1264.000000,50.263870,0
59,00:51:23.216,1771.000000,44.063438,0
