sample_id,timestamp,front_shock [mm],front_shock_raw [counts],rear_shock [mm],rear_shock_raw [counts],mark
0,01:43:31.609,29.197229,2862.000000,32.095921,3093.000000,0
1,01:43:31.611,29.146095,2863.000000,32.095921,3093.000000,0
2,01:43:31.613,29.146095,2863.000000,32.030502,3094.000000,0
3,01:43:31.615,29.248363,2861.000000,32.226765,3091.000000,0
4,01:43:31.617,29.248363,2861.000000,32.095921,3093.000000,0
5,01:43:31.619,29.299496,2860.000000,32.161343,3092.000000,0
6,01:43:31.621,29.248363,2861.000000,32.161343,3092.000000,0
7,01:43:31.623,29.299496,2860.000000,32.292179,3090.000000,0
8,01:43:31.625,29.350630,2859.000000,32.226765,3091.000000,0
9,01:43:31.627,29.248363,2861.000000,32.292179,3090.000000,0
10,01:43:31.629,29.299496,2860.000000,32.226765,3091.000000,0
11,01:43:31.631,29.299496,2860.000000,32.226765,3091.000000,0
12,01:43:31.633,29.248363,2861.000000,32.292179,3090.000000,0
13,01:43:31.635,29.299496,2860.000000,32.226765,3091.000000,0
14,01:43:31.637,29.248363,2861.000000,32.292179,3090.000000,0
15,01:43:31.639,29.248363,2861.000000,32.226765,3091.000000,0
16,01:43:31.641,29.299496,2860.000000,32.226765,3091.000000,0
17,01:43:31.643,29.299496,2860.000000,32.226765,3091.000000,0
18,01:43:31.645,29.299496,2860.000000,32.161343,3092.000000,0
19,01:43:31.647,29.350630,2859.000000,32.226765,3091.000000,0
20,01:43:31.649,29.350630,2859.000000,32.226765,3091.000000,0
21,01:43:31.651,29.452896,2857.000000,32.488441,3087.000000,0
22,01:43:31.653,29.350630,2859.000000,32.488441,3087.000000,0
23,01:43:31.655,29.452896,2857.000000,32.488441,3087.000000,0
24,01:43:31.657,29.452896,2857.000000,32.488441,3087.000000,0
25,01:43:31.659,29.452896,2857.000000,32.488441,3087.000000,0
26,01:43:31.661,29.504030,2856.000000,32.488441,3087.000000,0
27,01:43:31.663,29.555164,2855.000000,32.488441,3087.000000,0
28,01:43:31.665,29.504030,2856.000000,32.684704,3084.000000,0
29,01:43:31.667,29.504030,2856.000000,32.488441,3087.000000,0
30,01:43:31.669,29.452896,2857.000000,32.488441,3087.000000,0
31,01:43:31.671,29.504030,2856.000000,32.750126,3083.000000,0
32,01:43:31.673,29.504030,2856.000000,32.488441,3087.000000,0
33,01:43:31.675,29.452896,2857.000000,32.750126,3083.000000,0
34,01:43:31.677,29.504030,2856.000000,32.750126,3083.000000,0
35,01:43:31.679,29.452896,2857.000000,32.488441,3087.000000,0
36,01:43:31.681,29.452896,2857.000000,32.750126,3083.000000,0
37,01:43:31.683,29.504030,2856.000000,32.684704,3084.000000,0
38,01:43:31.685,29.504030,2856.000000,32.750126,3083.000000,0
