sample_id,timestamp,front_shock [mm],front_shock_raw [counts],rear_shock [mm],rear_shock_raw [counts],mark
0,01:37:09.863,30.935768,2828.000000,32.488441,3087.000000,0
1,01:37:09.865,30.935768,2828.000000,32.488441,3087.000000,0
2,01:37:09.867,30.884634,2829.000000,31.965080,3095.000000,0
3,01:37:09.869,30.884634,2829.000000,32.095921,3093.000000,0
4,01:37:09.871,30.680101,2833.000000,31.965080,3095.000000,0
5,01:37:09.873,30.884634,2829.000000,31.965080,3095.000000,0
6,01:37:09.875,30.884634,2829.000000,31.965080,3095.000000,0
7,01:37:09.877,30.884634,2829.000000,32.357601,3089.000000,0
8,01:37:09.879,30.782368,2831.000000,32.226765,3091.000000,0
9,01:37:09.881,30.782368,2831.000000,32.357601,3089.000000,0
10,01:37:09.883,30.833502,2830.000000,31.834238,3097.000000,0
11,01:37:09.885,30.884634,2829.000000,32.357601,3089.000000,0
12,01:37:09.887,30.782368,2831.000000,32.095921,3093.000000,0
13,01:37:09.889,30.782368,2831.000000,31.899658,3096.000000,0
14,01:37:09.891,30.782368,2831.000000,31.965080,3095.000000,0
15,01:37:09.893,30.935768,2828.000000,32.226765,3091.000000,0
16,01:37:09.895,30.680101,2833.000000,32.226765,3091.000000,0
17,01:37:09.897,30.884634,2829.000000,32.226765,3091.000000,0
18,01:37:09.899,30.782368,2831.000000,31.965080,3095.000000,0
19,01:37:09.901,30.782368,2831.000000,32.161343,3092.000000,0
20,01:37:09.903,30.782368,2831.000000,32.226765,3091.000000,0
21,01:37:09.905,30.680101,2833.000000,31.180033,3107.000000,0
22,01:37:09.907,30.680101,2833.000000,31.703396,3099.000000,0
23,01:37:09.909,30.884634,2829.000000,31.899658,3096.000000,0
24,01:37:09.911,30.833502,2830.000000,32.095921,3093.000000,0
25,01:37:09.913,30.935768,2828.000000,31.703396,3099.000000,0
26,01:37:09.915,30.884634,2829.000000,31.899658,3096.000000,0
27,01:37:09.917,30.935768,2828.000000,32.095921,3093.000000,0
