sample_id,timestamp,front_shock [mm],front_shock_raw [counts],rear_shock [mm],rear_shock_raw [counts],mark
0,00:36:00.596,12.783376,3183.000000,0.000000,3645.000000,0
1,00:36:00.598,12.527708,3188.000000,0.000000,3646.000000,0
2,00:36:00.600,12.578841,3187.000000,0.000000,3645.000000,0
3,00:36:00.602,12.732242,3184.000000,0.000000,3644.000000,0
4,00:36:00.604,12.681108,3185.000000,0.000000,3644.000000,0
5,00:36:00.606,12.578841,3187.000000,0.000000,3641.000000,0
6,00:36:00.608,12.578841,3187.000000,0.000000,3644.000000,0
7,00:36:00.610,12.578841,3187.000000,0.000000,3646.000000,0
8,00:36:00.612,12.578841,3187.000000,0.000000,3646.000000,0
9,00:36:00.614,12.578841,3187.000000,0.000000,3645.000000,0
10,00:36:00.616,12.578841,3187.000000,0.000000,3647.000000,0
11,00:36:00.618,12.578841,3187.000000,0.000000,3646.000000,0
12,00:36:00.620,12.578841,3187.000000,0.000000,3647.000000,0
13,00:36:00.622,12.578841,3187.000000,0.000000,3645.000000,0
14,00:36:00.624,12.527708,3188.000000,0.000000,3646.000000,0
15,00:36:00.626,12.578841,3187.000000,0.000000,3643.000000,0
16,00:36:00.628,12.476574,3189.000000,0.000000,3643.000000,0
17,00:36:00.630,12.578841,3187.000000,0.000000,3645.000000,0
18,00:36:00.632,12.885642,3181.000000,0.000000,3641.000000,0
19,00:36:00.634,12.783376,3183.000000,0.000000,3641.000000,0
20,00:36:00.636,12.885642,3181.000000,0.000000,3639.000000,0
21,00:36:00.638,12.885642,3181.000000,0.000000,3639.000000,0
22,00:36:00.640,12.885642,3181.000000,0.000000,3641.000000,0
23,00:36:00.642,12.885642,3181.000000,0.000000,3639.000000,0
24,00:36:00.644,12.885642,3181.000000,0.000000,3639.000000,0
25,00:36:00.646,12.885642,3181.000000,0.000000,3640.000000,0
26,00:36:00.648,12.936776,3180.000000,0.000000,3638.000000,0
27,00:36:00.650,12.885642,3181.000000,0.000000,3637.000000,0
28,00:36:00.652,12.936776,3180.000000,0.000000,3637.000000,0
29,00:36:00.654,12.987909,3179.000000,0.000000,3638.000000,0
30,00:36:00.656,12.936776,3180.000000,0.000000,3639.000000,0
31,00:36:00.658,12.885642,3181.000000,0.000000,3640.000000,0
32,00:36:00.660,12.885642,3181.000000,0.000000,3637.000000,0
33,00:36:00.662,12.987909,3179.000000,0.000000,3637.000000,0
34,00:36:00.664,12.936776,3180.000000,0.000000,3640.000000,0
35,00:36:00.666,12.987909,3179.000000,0.000000,3636.000000,0
36,00:36:00.668,12.885642,3181.000000,0.000000,3639.000000,0
37,00:36:00.670,12.936776,3180.000000,0.000000,3638.000000,0
38,00:36:00.672,12.885642,3181.000000,0.000000,3637.000000,0
39,00:36:00.674,12.885642,3181.000000,0.000000,3638.000000,0
40,00:36:00.676,12.885642,3181.000000,0.000000,3636.000000,0
41,00:36:00.678,12.885642,3181.000000,0.000000,3637.000000,0
42,00:36:00.680,12.987909,3179.000000,0.000000,3638.000000,0
43,00:36:00.682,12.936776,3180.000000,0.000000,3637.000000,0
44,00:36:00.684,12.987909,3179.000000,0.000000,3637.000000,0
45,00:36:00.686,12.987909,3179.000000,0.000000,3637.000000,0
46,00:36:00.688,12.987909,3179.000000,0.000000,3636.000000,0
47,00:36:00.690,12.987909,3179.000000,0.000000,3639.000000,0
48,00:36:00.692,12.936776,3180.000000,0.000000,3636.000000,0
49,00:36:00.694,12.987909,3179.000000,0.000000,3637.000000,0
50,00:36:00.696,12.936776,3180.000000,0.000000,3635.000000,0
51,00:36:00.698,12.936776,3180.000000,0.000000,3639.000000,0
52,00:36:00.700,12.987909,3179.000000,0.000000,3636.000000,0
53,00:36:00.702,12.987909,3179.000000,0.000000,3636.000000,0
54,00:36:00.704,13.039042,3178.000000,0.000000,3637.000000,0
55,00:36:00.706,12.987909,3179.000000,0.000000,3637.000000,0
56,00:36:00.708,12.987909,3179.000000,0.000000,3635.000000,0
57,00:36:00.710,12.987909,3179.000000,0.000000,3636.000000,0
58,00:36:00.712,12.987909,3179.000000,0.000000,3637.000000,0
59,00:36:00.714,12.885642,3181.000000,0.000000,3636.000000,0
60,00:36:00.716,12.987909,3179.000000,0.000000,3631.000000,0
61,00:36:00.718,12.987909,3179.000000,0.000000,3635.000000,0
62,00:36:00.720,12.987909,3179.000000,0.000000,3636.000000,0
63,00:36:00.722,12.987909,3179.000000,0.000000,3635.000000,0
64,00:36:00.724,13.090177,3177.000000,0.000000,3635.000000,0
65,00:36:00.726,13.090177,3177.000000,0.000000,3631.000000,0
66,00:36:00.728,13.039042,3178.000000,0.000000,3635.000000,0
67,00:36:00.730,13.039042,3178.000000,0.000000,3635.000000,0
68,00:36:00.732,12.987909,3179.000000,0.000000,3638.000000,0
69,00:36:00.734,12.987909,3179.000000,0.000000,3635.000000,0
70,00:36:00.736,12.987909,3179.000000,0.000000,3635.000000,0
71,00:36:00.738,12.987909,3179.000000,0.000000,3636.000000,0
72,00:36:00.740,13.039042,3178.000000,0.000000,3637.000000,0
73,00:36:00.742,13.039042,3178.000000,0.000000,3635.000000,0
74,00:36:00.744,13.039042,3178.000000,0.000000,3636.000000,0
75,00:36:00.746,12.987909,3179.000000,0.000000,3635.000000,0
76,00:36:00.748,13.039042,3178.000000,0.000000,3635.000000,0
77,00:36:00.750,12.987909,3179.000000,0.000000,3631.000000,0
78,00:36:00.752,13.141310,3176.000000,0.000000,3635.000000,0
79,00:36:00.754,12.936776,3180.000000,0.000000,3636.000000,0
80,00:36:00.756,13.090177,3177.000000,0.000000,3631.000000,0
81,00:36:00.758,12.987909,3179.000000,0.000000,3637.000000,0
82,00:36:00.760,13.039042,3178.000000,0.000000,3631.000000,0
83,00:36:00.762,13.090177,3177.000000,0.000000,3635.000000,0
84,00:36:00.764,13.039042,3178.000000,0.000000,3636.000000,0
85,00:36:00.766,13.090177,3177.000000,0.000000,3635.000000,0
86,00:36:00.768,13.090177,3177.000000,0.000000,3632.000000,0
87,00:36:00.770,13.039042,3178.000000,0.000000,3632.000000,0
88,00:36:00.772,13.090177,3177.000000,0.000000,3631.000000,0
89,00:36:00.774,12.936776,3180.000000,0.000000,3631.000000,0
90,00:36:00.776,12.987909,3179.000000,0.000000,3637.000000,0
91,00:36:00.778,13.039042,3178.000000,0.000000,3632.000000,0
92,00:36:00.780,12.987909,3179.000000,0.000000,3636.000000,0
93,00:36:00.782,12.987909,3179.000000,0.000000,3637.000000,0
94,00:36:00.784,12.987909,3179.000000,0.000000,3631.000000,0
95,00:36:00.786,12.936776,3180.000000,0.000000,3635.000000,0
96,00:36:00.788,12.987909,3179.000000,0.000000,3636.000000,0
97,00:36:00.790,13.039042,3178.000000,0.000000,3631.000000,0
98,00:36:00.792,12.936776,3180.000000,0.000000,3637.000000,0
99,00:36:00.794,12.987909,3179.000000,0.000000,3635.000000,0
100,00:36:00.796,12.987909,3179.000000,0.000000,3634.000000,0
101,00:36:00.798,12.987909,3179.000000,0.000000,3632.000000,0
102,00:36:00.800,13.090177,3177.000000,0.000000,3635.000000,0
103,00:36:00.802,13.090177,3177.000000,0.000000,3635.000000,0
104,00:36:00.804,12.987909,3179.000000,0.000000,3635.000000,0
