Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-TH_MY-1220-01,1,MY-1220-01,C964817
"C1, C10, C14, C15, C16, C18, C20, C29, C30, C31, C32, C7",0402,12,100nF,C1525
"C11, C33, C34, C6, C3",0402,4,1uF,C52923
"C12, C13",0603,2,2.2uF,C23630
"C17, C19, C9",0805,3,10uF,C15850
"C2, C8",0603,2,22uF,C84419
"C21, C22, C23, C24, C25, C26, C27, C28",0402,8,10nF,C15195
C4,0402,1,4.7uF,C23733
C5,0805,1,47uF,C16780
CN1,CONN-TH_B2B-PH-K-S,1,Battery,C131337
"D1, D2",0603,2,Red,C2286
IC1,XC6193AA05ERG,1,XC6193A103ER-G,C19267155
L1,L0603,1,MPZ1608S601ATA00,C107335
Q1,SOT-23,1,DMG2301L,C102619
"R1, R11, R13, R15, R22, R25, R26, R27, R28, R29, R30, R31, R4",0402,13,10k,C25744
"R10, R9",0402,2,22,C25092
R12,0402,1,511k,C64042
R14,0402,1,91k,C4147
R16,0402,1,18k,C25762
R17,0402,1,1k,C11702
"R18, R19, R3, R5, R7, R8",0402,6,4.7k,C25900
"R2, R6",0402,2,47k,C25792
"R20, R21, R23",0402,3,200k,C25764
R24,0402,1,133k,C25753
"R32, R33, R34, R35, R36, R37, R38, R39",0402,8,100R,C25076
"R40, R41, R42, R43, R44, R45, R46, R47, R48, R49",0402,10,47R,C25120
"R50, R51",0402,2,5.1k,C25905
SIM1,SIM-SMD_8P-1040310811,1,1040310811,C585350
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",SW-SMD_L3.9-W3.0-P4.45,8,TS-1088-AR02016,C720477
U1,ESP32-S2-MINI-1,1,ESP32-S3-MINI,C3013941
"U10, U11",VQFN-16_L3.5-W3.5-P0.50-BL-EP2.1,2,ADS1220IRVAR,C2651338
U12,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,DT1042-04SO,C19626385
U2,L1008,1,DFE252012P-1R0M=P2,C882955
U3,TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2,1,MAX17048G+T10,C2682616
U4,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,1,TPS631000DRLR,C5219190
U5,WSON-10_L2.2-W2.0-P0.40-BL-EP_TI_DLH0010A,1,BQ25185DLHR,C19725033
U6,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,1,TPS7A2030PDBVR,C963429
U7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,TPS2553DBVR,C55266
U8,MicroCrystal_C7_SON-8_1.5x3.2mm_P0.9mm,1,RV-3028-C7,C3019759
USB1,USC-C-SMD_USB4085-GF-A,1,USB4085-GF-A_C7095263,C7095263
