Designator,Mid X,Mid Y,Rotation,Layer
BT1,69.060819,-84.410819,-90,top
C1,53.560819,-117.390819,-90,top
C2,52.260819,-119.610819,90,top
C3,55.190819,-99.360819,0,top
C4,52.06348,-117.61083,180,top
C5,71.310819,-129.010819,0,top
C6,56.210819,-125.880819,90,top
C7,68.710819,-129.630819,-90,top
C8,63.685819,-130.110819,180,top
C9,58.460819,-124.910819,90,top
C10,65.660819,-127.590819,-90,top
C11,58.960819,-128.840819,90,top
C12,72.460819,-101.110819,-90,top
C13,79.460819,-97.885819,90,top
C14,60.460819,-123.880819,90,top
C15,81.230819,-103.360819,180,top
C16,64.660819,-127.610819,-90,top
C17,87.710819,-98.610819,-90,top
C18,85.960819,-99.380819,-90,top
C19,85.710819,-107.860819,90,top
C20,87.210819,-108.630819,90,top
C21,89.960819,-72.090819,90,top
C22,97.960819,-128.340819,-90,top
C23,92.460819,-69.880819,90,top
C24,95.460819,-130.611613,-90,top
C25,96.460819,-69.880819,90,top
C26,91.460819,-130.611613,-90,top
C27,98.960819,-72.110819,90,top
C28,88.960819,-128.340819,-90,top
C29,90.960819,-75.590819,-90,top
C30,97.730819,-125.881613,0,top
C31,90.190819,-73.610819,180,top
C32,97.730819,-126.881613,0,top
C33,94.460819,-69.840819,90,top
C34,93.460819,-130.611613,-90,top
CN1,53.710819,-128.860819,90,top
D1,71.923319,-125.110819,0,top
D2,90.960819,-97.148319,-90,top
IC1,64.860819,-125.110819,180,top
L1,85.010819,-97.610819,0,top
Q1,61.360819,-126.923319,-90,top
R1,55.210819,-98.360819,180,top
R2,69.460819,-105.800819,-90,top
R3,56.210819,-117.370819,-90,top
R4,60.710819,-99.100819,-90,top
R5,57.210819,-117.370819,-90,top
R6,67.950819,-105.360819,180,top
R7,58.960819,-117.850819,-90,top
R8,59.960819,-117.850819,-90,top
R9,67.870819,-108.460819,0,top
R10,67.870819,-107.460819,0,top
R11,53.560819,-120.600819,-90,top
R12,72.050819,-127.210819,0,top
R13,55.450819,-123.360819,180,top
R14,69.700819,-131.110819,0,top
R15,56.210819,-131.100819,-90,top
R16,57.210819,-131.100819,-90,top
R17,58.205122,-131.095122,-90,top
R18,73.960819,-128.850819,90,top
R19,90.163319,-99.360819,0,top
R20,62.220819,-123.360819,0,top
R21,62.200819,-124.360819,0,top
R22,83.970819,-103.360819,180,top
R23,63.660819,-127.600819,-90,top
R24,85.710819,-101.620819,90,top
R25,82.950819,-117.860819,0,top
R26,84.870819,-72.310819,180,top
R27,82.950819,-116.610819,0,top
R28,82.950819,-122.860819,0,top
R29,82.950819,-121.610819,0,top
R30,82.950819,-120.360819,0,top
R31,82.950819,-124.110819,0,top
R32,90.960819,-72.110819,-90,top
R33,96.960819,-128.360819,90,top
R34,93.460819,-69.860819,-90,top
R35,94.460819,-130.631613,90,top
R36,95.460819,-69.860819,-90,top
R37,92.460819,-130.631613,90,top
R38,97.960819,-72.100819,-90,top
R39,89.960819,-128.370819,90,top
R40,91.960819,-123.370819,90,top
R41,96.210819,-77.110819,-90,top
R42,92.960819,-123.370819,90,top
R43,95.210819,-77.100819,-90,top
R44,93.960819,-123.370819,90,top
R45,94.210819,-77.100819,-90,top
R46,94.960819,-123.370819,90,top
R47,93.210819,-77.100819,-90,top
R48,95.960819,-123.370819,90,top
R49,91.960819,-76.350819,-90,top
R50,78.210819,-130.110819,90,top
R51,79.460819,-130.100819,-90,top
SIM1,94.160819,-106.200819,0,top
SW1,53.210819,-95.360819,90,top
SW2,57.210819,-121.110819,0,top
SW3,97.785819,-89.285819,90,top
SW4,77.785819,-113.285819,0,top
SW5,77.785819,-120.960819,0,top
SW6,70.110819,-113.285819,-90,top
SW7,85.460819,-113.285819,90,top
SW8,77.785819,-105.610819,0,top
U1,56.310819,-108.360819,90,top
U2,68.460819,-125.940819,-90,top
U3,53.210819,-124.360819,0,top
U4,66.960819,-129.860819,180,top
U5,56.910819,-128.160819,180,top
U6,77.960819,-101.110819,180,top
U7,82.960819,-101.110819,180,top
U8,82.410819,-73.760819,0,top
U10,94.460819,-73.860819,90,top
U11,93.460819,-126.631613,-90,top
U12,77.960819,-127.610819,0,top
USB1,75.460819,-134.110819,0,top
