Designator,Mid X,Mid Y,Rotation,Layer
C1,170.025,-109.9,0,top
C2,170.025,-97.6,0,top
C3,170.025,-99.9,0,top
C4,170.025,-104.7,0,top
C6,171.45,-116.425,270,top
C7,178.5,-113.225,90,top
C8,182.725,-96,180,top
D1,158.05,-119.5,180,top
D2,158.05,-121.5,180,top
R1,173.8,-108.2,0,top
R10,173.8,-106.3,0,top
R11,170.025,-106.3,0,top
R12,173.8,-104.7,180,top
R2,170.025,-108.2,0,top
R3,173.8,-109.9,180,top
R4,173.8,-95.8,0,top
R5,170.025,-95.8,0,top
R6,173.8,-97.6,180,top
R7,173.8,-101.7,0,top
R8,170.025,-101.7,0,top
R9,173.775,-99.9,180,top
U2,179.825,-102.91,90,top
U3,177.3625,-116.55,180,top
