sample_id,timestamp_ms,i2c_stringpot_raw [counts],i2c_stringpot [mm],mark
0,1776396601403,3470.000000,-11.177902,0
1,1776396601405,3470.000000,-26.807398,0
2,1776396601407,3470.000000,-26.807398,0
3,1776396601409,3470.000000,-26.807398,0
4,1776396601411,3470.000000,-26.807398,0
5,1776396601413,3470.000000,-26.807398,0
6,1776396601415,3470.000000,-26.807398,0
7,1776396601417,3470.000000,-26.807398,0
8,1776396601419,3470.000000,-26.807398,0
9,1776396601421,3470.000000,-26.807398,0
10,1776396601423,3470.000000,-26.807398,0
11,1776396601425,3470.000000,-26.807398,0
12,1776396601427,3470.000000,-26.807398,0
13,1776396601429,3470.000000,-26.807398,0
14,1776396601431,3470.000000,-26.807398,0
15,1776396601433,3470.000000,-26.807398,0
16,1776396601435,3470.000000,-26.807398,0
17,1776396601437,3470.000000,-26.807398,0
18,1776396601439,3470.000000,-26.807398,0
19,1776396601441,3470.000000,-26.807398,0
20,1776396601443,3470.000000,-26.807398,0
21,1776396601445,3470.000000,-26.807398,0
22,1776396601447,3470.000000,-26.807398,0
23,1776396601449,3470.000000,-26.807398,0
24,1776396601451,3470.000000,-26.807398,0
25,1776396601453,3470.000000,-26.807398,0
26,1776396601455,3470.000000,-26.807398,0
27,1776396601457,3470.000000,-26.807398,0
28,1776396601459,3470.000000,-26.807398,0
29,1776396601461,3470.000000,-26.807398,0
30,1776396601463,3471.000000,-26.819628,0
31,1776396601465,3471.000000,-26.819628,0
32,1776396601467,3471.000000,-26.819628,0
33,1776396601469,3471.000000,-26.819628,0
34,1776396601471,3471.000000,-26.819628,0
35,1776396601473,3470.000000,-26.807398,0
36,1776396601475,3471.000000,-26.819628,0
37,1776396601477,3471.000000,-26.819628,0
38,1776396601479,3471.000000,-26.819628,0
39,1776396601481,3471.000000,-26.819628,0
40,1776396601483,3471.000000,-26.819628,0
41,1776396601485,3471.000000,-26.819628,0
42,1776396601487,3471.000000,-26.819628,0
43,1776396601489,3471.000000,-26.819628,0
44,1776396601491,3471.000000,-26.819628,0
45,1776396601493,3471.000000,-26.819628,0
46,1776396601495,3471.000000,-26.819628,0
47,1776396601497,3471.000000,-26.819628,0
48,1776396601499,3471.000000,-26.819628,0
49,1776396601501,3471.000000,-26.819628,0
50,1776396601503,3470.000000,-26.807398,0
51,1776396601505,3471.000000,-26.819628,0
52,1776396601507,3471.000000,-26.819628,0
53,1776396601509,3471.000000,-26.819628,0
54,1776396601511,3471.000000,-26.819628,0
55,1776396601513,3471.000000,-26.819628,0
56,1776396601515,3471.000000,-26.819628,0
57,1776396601517,3471.000000,-26.819628,0
58,1776396601519,3471.000000,-26.819628,0
59,1776396601521,3471.000000,-26.819628,0
60,1776396601523,3471.000000,-26.819628,0
61,1776396601525,3471.000000,-26.819628,0
62,1776396601527,3471.000000,-26.819628,0
63,1776396601529,3471.000000,-26.819628,0
64,1776396601531,3471.000000,-26.819628,0
65,1776396601533,3471.000000,-26.819628,0
66,1776396601535,3471.000000,-26.819628,0
