sample_id,timestamp,front_shock [mm],front_shock_raw [counts],String pot [mm],String pot_raw [counts],mark
0,07:13:28.733,104.829628,1846.000000,-0.426186,902.000000,0
1,07:13:28.735,104.829628,1846.000000,31.363394,869.000000,0
2,07:13:28.737,104.758026,1847.000000,32.254509,823.000000,0
3,07:13:28.739,104.829628,1846.000000,33.145626,777.000000,0
4,07:13:28.741,104.758026,1847.000000,34.017368,732.000000,0
5,07:13:28.743,104.758026,1847.000000,34.811623,691.000000,0
6,07:13:28.745,104.758026,1847.000000,35.586506,651.000000,0
7,07:13:28.747,104.758026,1847.000000,36.458248,606.000000,0
8,07:13:28.749,104.901237,1845.000000,37.543087,550.000000,0
9,07:13:28.751,104.758026,1847.000000,38.376087,507.000000,0
10,07:13:28.753,104.758026,1847.000000,39.034737,473.000000,0
11,07:13:28.755,104.829628,1846.000000,39.848362,431.000000,0
12,07:13:28.757,104.758026,1847.000000,40.507015,397.000000,0
13,07:13:28.759,104.758026,1847.000000,41.223782,360.000000,0
14,07:13:28.761,104.758026,1847.000000,41.863060,327.000000,0
15,07:13:28.763,104.758026,1847.000000,42.579826,290.000000,0
16,07:13:28.765,104.758026,1847.000000,43.277222,254.000000,0
17,07:13:28.767,104.829628,1846.000000,43.916500,221.000000,0
18,07:13:28.769,104.758026,1847.000000,44.536407,189.000000,0
19,07:13:28.771,104.758026,1847.000000,45.175686,156.000000,0
20,07:13:28.773,104.758026,1847.000000,45.834335,122.000000,0
21,07:13:28.775,104.758026,1847.000000,46.396126,93.000000,0
22,07:13:28.777,104.758026,1847.000000,46.977287,63.000000,0
23,07:13:28.779,104.758026,1847.000000,47.500336,36.000000,0
24,07:13:28.781,104.686417,1848.000000,48.100868,5.000000,0
25,07:13:28.783,104.758026,1847.000000,48.217102,4095.000000,0
26,07:13:28.785,104.758026,1847.000000,48.217102,4095.000000,0
27,07:13:28.787,104.758026,1847.000000,48.217102,4095.000000,0
28,07:13:28.789,104.758026,1847.000000,48.217102,4095.000000,0
29,07:13:28.791,104.758026,1847.000000,48.217102,4095.000000,0
30,07:13:28.793,104.758026,1847.000000,48.372078,4087.000000,0
31,07:13:28.795,104.758026,1847.000000,49.282566,4040.000000,0
32,07:13:28.797,104.758026,1847.000000,50.309284,3987.000000,0
33,07:13:28.799,104.758026,1847.000000,51.161655,3943.000000,0
34,07:13:28.801,104.614815,1849.000000,51.936539,3903.000000,0
